"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
125	"Senegal"	686	34.82	36.76	37.84	37.58	39.96	45.37	49.93	54.52	56	55.73	57.27	60.77	62.59	64.12	65.51	66.77	67.92	68.96	69.92	70.8	71.61	72.36	73.07	73.73	74.35	74.94	75.5	76.04	76.55	77.04	"2008"
126	"Serbia"	688	58.73	60.7	63.3	65.2	66.74	67.28	67.95	68.75	69.19	69.42	69.77	70.93	72.07	72.79	73.47	74.19	74.93	75.63	76.29	76.92	77.52	78.09	78.65	79.18	79.7	80.21	80.7	81.19	81.66	82.13	"2008"
127	"Seychelles"	690	55.94	57.37	60.09	61.34	63.71	65.42	66.56	67.28	65.83	66.9	67.97	68.2	69.1	69.76	70.36	71.16	72.07	72.92	73.68	74.39	75.06	75.69	76.29	76.85	77.4	77.91	78.42	78.9	79.38	79.82	"2008"
128	"Sierra Leone"	694	27.09	28.17	29.52	31.41	36.73	39.4	40.65	38.89	35.23	35.92	39.48	43.82	45.59	47.28	49.07	50.92	52.83	54.77	56.7	58.59	60.39	62.09	63.65	65.08	66.39	67.57	68.64	69.63	70.53	71.36	"2008"
129	"Singapore"	702	57.52	60.81	63.4	64.26	65.97	68.2	70.34	72.86	74.75	75.34	76.69	78.72	79.63	80.75	81.84	82.89	83.93	84.94	85.92	86.89	87.84	88.78	89.69	90.6	91.48	92.35	93.21	94.05	94.88	95.69	"2008"
130	"Slovakia"	703	62.52	66.66	68.27	67.48	66.78	66.91	66.79	66.96	67.44	68.69	69.81	70.72	71.94	73.01	73.94	74.75	75.46	76.13	76.76	77.37	77.95	78.51	79.05	79.57	80.08	80.58	81.07	81.54	82.01	82.47	"2008"
131	"Slovenia"	705	63	65.1	66.1	65.6	66	67	67.11	68.61	69.71	71.3	72.77	75.08	76.21	77.28	78.25	79.01	79.6	80.17	80.73	81.28	81.82	82.35	82.87	83.39	83.91	84.42	84.93	85.43	85.93	86.43	"2008"
132	"Solomon Islands"	90	44.9	47.4	49.9	52.4	54.9	57.4	58.2	55.53	57.94	60.37	62.85	65.12	66.98	68.44	69.73	70.87	71.9	72.82	73.67	74.45	75.18	75.87	76.52	77.13	77.72	78.29	78.84	79.37	79.88	80.38	"2008"
133	"Somalia"	706	32.54	34.51	36.46	38.48	40.39	42.29	44	44.89	43.49	48.28	49.99	51.58	53.21	55.03	57.01	58.97	60.88	62.57	64.13	65.59	66.88	68.01	69.06	70.03	70.95	71.79	72.5	73.16	73.8	74.42	"2008"
134	"Spain"	724	61.81	65.09	67.13	68.45	69.64	71.08	72.75	73.3	73.76	74.89	76.24	77.95	79.27	80.1	80.91	81.55	82.09	82.63	83.14	83.68	84.18	84.69	85.2	85.71	86.22	86.71	87.21	87.7	88.19	88.68	"2008"
