"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
147	"Lithuania"	440	67.8	71	73.5	74.82	75.38	75.4	75.7	76.4	75.51	76.15	77.49	77.24	78.28	78.86	79.41	80.02	80.68	81.31	81.9	82.46	83	83.53	84.03	84.53	85.01	85.47	85.93	86.38	86.83	87.27
148	"Norway"	578	74.4	75.54	75.9	76.72	77.55	78.42	79.33	79.38	80.13	81.04	81.72	82.71	83.47	84.09	84.69	85.26	85.83	86.38	86.91	87.44	87.96	88.48	88.99	89.49	89.98	90.48	90.98	91.47	91.96	92.44
149	"Sweden"	752	73.13	74.55	75.44	76.43	77.55	78.38	79.39	80.07	80.77	81.71	82.24	82.93	83.65	84.25	84.85	85.43	85.98	86.53	87.07	87.59	88.11	88.63	89.14	89.63	90.13	90.63	91.12	91.62	92.1	92.59
150	"United Kingdom"	826	71.79	73.28	73.94	74.75	75.24	75.97	77.05	77.83	78.83	79.55	80.58	81.68	82.42	83.04	83.66	84.25	84.83	85.41	85.96	86.48	87.02	87.54	88.08	88.59	89.09	89.59	90.09	90.58	91.07	91.55
151	"Southern Europe"	925	65.3879963	68.33531908	70.61609195	72.42817222	74.07869956	75.805821	77.18619201	78.4591952	79.45415647	80.54817189	81.69230677	82.55409206	83.35191464	83.9423634	84.52319467	85.10196024	85.66363051	86.20881158	86.75159896	87.27778243	87.77639113	88.25004965	88.71207938	89.17726777	89.65806948	90.15240348	90.65936384	91.16564664	91.65646359	92.14164842
152	"Albania"	8	56.1	60.1	66	67.4	69.5	71.2	73	75	74.26	75.93	78.7	79.72	80.4	81.04	81.65	82.22	82.78	83.31	83.82	84.32	84.81	85.28	85.75	86.21	86.66	87.1	87.54	87.98	88.41	88.84
153	"Bosnia and Herzegovina"	70	54.8	59.8	63.6	66.7	69.5	72.1	73.4	74.5	73.16	75.9	77.18	77.7	78.4	78.97	79.52	80.12	80.78	81.4	81.98	82.54	83.08	83.6	84.11	84.6	85.08	85.54	86	86.45	86.89	87.33
154	"Croatia"	191	63.2	66.9	69.6	71.4	72.9	74.1	74.6	75.5	76.52	78.09	78.37	79.49	80.37	81.12	81.82	82.43	82.98	83.5	84.01	84.5	84.98	85.45	85.91	86.36	86.81	87.24	87.67	88.1	88.52	88.94
155	"Greece"	300	67.5	69.5	71.2	72.8	74.2	75.8	77.5	78.83	80	80.72	81.79	82.01	82.58	83.12	83.65	84.16	84.64	85.12	85.59	86.05	86.5	86.93	87.36	87.78	88.21	88.62	89.04	89.44	89.85	90.26
156	"Italy"	380	68.13	70.65	72.29	73.69	75.16	76.74	78.06	79.53	80.67	81.77	83.02	83.98	84.62	85.19	85.74	86.31	86.84	87.35	87.87	88.4	88.91	89.41	89.9	90.39	90.89	91.38	91.86	92.36	92.84	93.32
