"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
1	"Afghanistan"	4	27.91	30.6	33.28	35.95	38.5	40.85	43.45	47.38	51.69	54.92	56.99	59.61	62.03	64.16	66	67.71	69.26	70.66	71.91	73.02	74.02	74.93	75.75	76.5	77.2	77.84	78.45	79.02	79.56	80.08	2008
2	"Albania"	8	56.1	60.1	66	67.4	69.5	71.2	73	75.01	74.86	76.1	78.71	79.72	80.4	81.04	81.65	82.22	82.78	83.31	83.82	84.32	84.81	85.28	85.75	86.21	86.66	87.1	87.54	87.98	88.41	88.84	2008
3	"Algeria"	12	43.54	45.7	48.04	50.27	52.35	55.87	63.04	67.31	68.83	69.99	71.03	71.83	73.05	74.05	74.95	75.93	76.94	77.85	78.67	79.43	80.13	80.78	81.4	81.99	82.55	83.09	83.61	84.11	84.6	85.08	2008
4	"Antigua and Barbuda"	28	60.75	63.07	65.21	67.19	68.94	70.51	71.92	73.19	74.36	75.44	76.43	77.36	79.02	79.56	80.07	80.65	81.28	81.86	82.43	82.97	83.49	83.97	84.46	84.94	85.4	85.86	86.3	86.74	87.18	87.6	2008
5	"Argentina"	32	65.14	67.44	68.62	69.33	70.78	72.22	73.74	74.62	75.8	76.95	78.1	79.06	79.95	80.78	81.55	82.25	82.9	83.48	84.02	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	2008
6	"Armenia"	51	65.92	67.99	70.07	72.13	73.61	73.53	73.8	70.73	71.52	73.39	75.92	77.27	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	2008
7	"Aruba"	533	61.6	65.6	68.3	70	72.6	74.3	75.2	75.8	76	76.2	76.39	77.09	77.75	78.36	78.94	79.58	80.27	80.91	81.52	82.11	82.66	83.2	83.71	84.22	84.7	85.18	85.64	86.1	86.55	86.99	2008
8	"Australia"	36	72.3	73.63	74.31	74.47	75.22	77.11	78.67	79.33	80.61	81.67	82.87	83.93	84.58	85.14	85.7	86.25	86.78	87.31	87.83	88.35	88.86	89.36	89.86	90.36	90.85	91.34	91.83	92.31	92.79	93.27	2008
9	"Austria"	40	68.78	70.84	72.6	73.29	74.06	75.36	76.54	78.03	79.2	80.45	81.6	82.72	83.6	84.2	84.78	85.35	85.9	86.44	86.98	87.5	88.03	88.54	89.05	89.56	90.06	90.56	91.06	91.55	92.05	92.54	2008
10	"Azerbaijan"	31	61.5	63.5	65.5	67.5	69	68.7	68.6	69.75	68.45	69.57	70.43	73.14	73.66	74.6	75.45	76.22	77.07	77.97	78.78	79.53	80.22	80.87	81.49	82.07	82.63	83.16	83.68	84.18	84.67	85.15	2008
11	"Bahrain"	48	44.49	50.11	57.15	63.27	67.83	70.46	72.32	73.53	74.43	74.84	75.88	76.84	77.14	77.87	78.58	79.25	79.88	80.48	81.12	81.68	82.29	82.86	83.46	84.03	84.65	85.27	85.83	86.37	86.88	87.48	2008
12	"Bangladesh"	50	42.57	45.02	47.29	49.04	45.03	52.43	55.36	58.31	61.13	64.16	66.85	69.13	71.28	73.23	74.95	76.42	77.7	78.82	79.9	80.83	81.7	82.58	83.44	84.25	85.1	85.87	86.7	87.46	88.22	88.95	2008
13	"Barbados"	52	59.25	61.84	64.18	66.26	68.11	69.77	71.26	72.6	73.81	74.9	75.9	76.81	77.31	77.81	78.31	78.81	79.31	79.81	80.31	80.81	81.31	81.81	82.31	82.81	83.31	83.81	84.31	84.81	85.31	85.81	2008
14	"Belarus"	112	63.38	68.82	71.6	73.24	73.85	74.17	74.41	75.72	74.83	73.1	73.64	75.19	76.12	77.08	77.73	78.35	78.92	79.47	79.99	80.49	81.07	81.68	82.25	82.8	83.33	83.84	84.34	84.82	85.3	85.76	2008
15	"Belgium"	56	70.13	72.09	73.23	73.83	74.67	75.85	77.15	78.45	79.64	80.52	81.26	82.22	83.37	84.62	85.48	86.03	86.57	87.11	87.63	88.15	88.66	89.17	89.68	90.18	90.68	91.18	91.67	92.17	92.66	93.15	2008
16	"Bhutan"	64	30.3	31.89	33.59	35.36	38.81	42.88	46.64	50.34	54.4	58.42	62.25	65.97	68.52	70.59	72.23	73.56	74.67	75.67	76.67	77.55	78.35	79.12	79.92	80.67	81.46	82.13	82.78	83.48	84.19	84.84	2008
17	"Bolivia (Plurinational State of)"	68	42.49	44.02	45.61	47.27	49.01	52.17	55.9	59.1	61.82	64.03	65.99	67.7	69.37	70.99	72.54	74.01	75.4	76.7	77.9	79	79	79	79	79	79	79	79	79	79	79	2008
18	"Bosnia and Herzegovina"	70	54.65	59.91	63.62	66.66	69.62	72.27	73.44	74.5	73.16	75.9	77.19	77.7	78.4	78.97	79.52	80.12	80.78	81.4	81.98	82.54	83.08	83.6	84.11	84.6	85.08	85.54	86	86.45	86.89	87.33	2008
19	"Brazil"	76	52.75	55.38	57.82	59.95	62.17	64.25	66.87	69.23	71.45	73.33	74.9	76.1	77.23	78.28	79.25	80.14	80.96	81.71	82.39	83	83	83	83	83	83	83	83	83	83	83	2008
20	"Brunei Darussalam"	96	59.5	62.48	65.41	67.85	69.97	71.83	73.47	74.93	76.24	77.43	78.51	79.5	80.64	81.25	81.84	82.34	82.76	83.17	83.57	83.95	84.33	84.7	85.07	85.42	85.78	86.1	86.45	86.79	87.12	87.46	2008
21	"Bulgaria"	100	63.66	68.02	71.84	72.99	73.44	73.69	74.18	74.65	74.78	74.6	75.62	76.65	77.12	77.77	78.38	79.06	79.79	80.46	81.1	81.7	82.27	82.82	83.35	83.87	84.36	84.85	85.32	85.78	86.23	86.68	2008
22	"Cambodia"	116	40.8	42.8	44.9	46.9	41.7	32.5	50.01	56.08	57.18	57.74	59.53	62.61	65.1	67.37	69.5	71.37	72.96	74.3	75.48	76.51	77.48	78.36	79.15	79.88	80.57	81.24	81.85	82.44	82.99	83.52	2008
23	"Canada"	124	71.48	73.21	74.53	75.6	76.64	77.96	79.28	80.05	80.81	81.27	82.11	82.81	83.5	84.1	84.68	85.24	85.8	86.34	86.88	87.4	87.92	88.44	88.94	89.45	89.95	90.44	90.94	91.43	91.91	92.39	2008
24	"Cape Verde"	132	49.13	49.88	50.64	51.77	55.06	59.15	63.21	67.43	70.08	72.49	74.89	76.96	78.82	80.4	81.74	82.91	83.91	84.93	85.83	86.74	87.62	88.41	89.19	89.96	90.7	91.46	92.22	92.95	93.66	94.4	2008
25	"Channel Islands"	830	71.74	73.23	73.88	74.7	75.19	75.92	77	77.78	78.78	79.49	80.52	81.63	82.37	83	83.61	84.2	84.77	85.32	85.86	86.39	86.9	87.41	87.9	88.39	88.87	89.34	89.8	90.26	90.71	91.15	2008
26	"Chile"	152	56.77	58.69	60.95	63.75	66.8	70.57	74.16	75.89	77.35	78.78	80.8	81.53	82.2	82.81	83.36	83.86	84.31	84.71	85.08	85.4	85.4	85.4	85.4	85.4	85.4	85.4	85.4	85.4	85.4	85.4	2008
27	"China"	156	44.59	45.63	46.43	59.49	66.07	67.81	69.27	70.52	71.61	72.55	74.71	75.77	76.5	77	77.58	78.43	79.21	79.91	80.57	81.2	81.82	82.39	82.92	83.45	83.96	84.46	84.95	85.41	85.85	86.3	2008
28	"China, Hong Kong SAR"	344	66.43	69.22	72.19	74.13	75.85	77.39	78.79	80.06	81.23	82.32	84.32	85.43	85.15	85.96	86.74	87.5	88.23	88.94	89.62	90.29	90.95	91.58	92.2	92.81	93.4	93.98	94.55	95.11	95.65	96.18	2008
29	"China, Macao SAR"	446	62.36	65.07	67.68	69.99	72.03	73.86	75.49	76.95	78.27	79.48	80.58	81.6	83.8	84.39	84.97	85.53	86.08	86.62	87.15	87.67	88.19	88.71	89.21	89.71	90.21	90.71	91.19	91.68	92.18	92.66	2008
30	"Colombia"	170	52.34	56.88	59.68	61.83	63.85	66.25	70.22	71.69	73.02	74.22	75.42	76.62	77.62	78.42	79.22	80.02	80.52	81.02	81.52	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	82.02	2008
31	"Comoros"	174	42	44	46	48	51	53	55	57	58	59	60	61	63.18	65.07	66.85	68.48	69.96	71.28	72.46	73.52	74.47	75.33	76.12	76.85	77.52	78.14	78.73	79.29	79.82	80.32	2008
32	"Costa Rica"	188	58.55	61.54	64.53	67.46	70.22	73.31	76.09	77.52	78.6	79.68	80.56	81.24	81.86	82.41	82.91	83.35	83.75	84.1	84.42	84.7	84.7	84.7	84.7	84.7	84.7	84.7	84.7	84.7	84.7	84.7	2008
33	"Croatia"	191	63.08	65.91	68.51	70.87	72.8	74.12	74.58	75.5	76.51	78.09	78.37	79.47	80.37	81.13	81.83	82.49	83.13	83.74	84.33	84.91	85.47	86.02	86.56	87.1	87.62	88.14	88.66	89.17	89.67	90.17	2008
34	"Cuba"	192	61.28	64.16	67.11	70.2	72.73	74.91	75.97	76.57	76.73	78.23	79.08	80.4	81.2	82	82.5	83	83.5	84	84.5	84.99	84.99	84.99	84.99	84.99	84.99	84.99	84.99	84.99	84.99	84.99	2008
35	"Curaçao"	531	62.23	65.78	68.24	69.96	72.29	74.78	76.39	77.37	77.48	77.82	78.59	79.38	79.89	80.39	80.89	81.35	81.8	82.23	82.65	83.05	83.45	83.84	84.22	84.59	84.94	85.3	85.65	86	86.35	86.69	2008
36	"Cyprus"	196	68.72	70.75	72.47	73.94	75.21	76.33	77.32	78.2	79.01	79.75	80.45	81.1	82.17	82.76	83.29	83.81	84.31	84.79	85.26	85.73	86.19	86.64	87.08	87.51	87.93	88.35	88.77	89.17	89.58	89.97	2008
37	"Czech Republic"	203	68.82	72.09	73.36	73.43	73.46	74.19	74.3	75.07	76.07	77.49	78.69	79.98	81	81.71	82.38	83.02	83.63	84.23	84.81	85.37	85.93	86.47	87	87.53	88.05	88.57	89.08	89.58	90.08	90.58	2008
38	"Dem. People's Rep. of Korea"	408	43.16	53.54	54.55	60.06	64.59	67.86	69.83	71.33	73.56	67.14	71.46	71.75	72.12	73.22	74.2	75.25	76.35	77.32	78.19	78.98	79.71	80.4	81.04	81.64	82.22	82.77	83.3	83.81	84.31	84.8	2008
39	"Dem. Republic of the Congo"	180	40.42	41.91	43	44.36	46.16	47.02	48.01	48.6	49.92	47.15	49.46	49.94	51.7	53.29	54.91	56.75	58.8	60.83	62.81	64.73	66.53	68.19	69.69	71.05	72.25	73.33	74.3	75.18	75.98	76.71	2008
40	"Denmark"	208	72.26	73.76	74.47	75.27	76.41	77.31	77.54	77.72	77.98	78.53	79.58	80.78	81.37	82.08	82.74	83.37	83.98	84.57	85.14	85.7	86.25	86.77	87.3	87.82	88.33	88.84	89.34	89.83	90.32	90.8	2008
41	"Dominican Republic"	214	47.31	51.41	55.22	58.67	61.77	63.97	66.09	68.97	71.86	73.12	74.35	75.45	76.45	77.36	78.17	78.9	79.55	80.13	80.63	81.08	81.08	81.08	81.08	81.08	81.08	81.08	81.08	81.08	81.08	81.08	2008
42	"Ecuador"	218	49.63	52.7	56.06	58.22	60.46	63.23	66.65	69.88	72.63	75.11	77.2	78.02	78.81	79.54	80.22	80.86	81.46	82.01	82.53	83	83	83	83	83	83	83	83	83	83	83	2008
43	"Egypt"	818	41.64	47.37	50.66	53.27	54.8	58.85	62.2	65.91	67.87	70.43	71.43	72.27	73.44	74.4	75.27	76.21	77.19	78.08	78.88	79.62	80.31	80.95	81.56	82.14	82.7	83.23	83.75	84.25	84.73	85.21	2008
44	"El Salvador"	222	46.8	51.48	55.72	58.87	61.17	62.73	64.18	69.08	72.87	73.92	74.93	75.89	76.89	77.89	78.79	79.59	80.39	80.99	81.59	82.19	82.19	82.19	82.19	82.19	82.19	82.19	82.19	82.19	82.19	82.19	2008
