country_code	name	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	include_code
466	Mali	0	0	0.0044	0.1091	1.023	1.816	1.5165	1.1791	0.9503	0.8016	0.7095	0.66	0.6377	0.6269	0.6166	0.6013	0.5779	0.5454	0.5045	0.4568	0.4046	0.3501	0.295	0.2405	0.1875	0.1317	1
508	Mozambique	0	0	0.0831	0.5341	2.1854	6.0921	9.9943	11.4313	11.1338	10.3421	9.6983	9.1897	8.6505	8.0586	7.4327	6.7903	6.1399	5.4831	4.8239	4.1727	3.5453	2.9551	2.4111	1.919	1.4826	1.0698	1
516	Namibia	0	0.0483	0.2469	1.067	4.0686	10.8077	16.2113	14.3076	12.0435	10.4221	8.9563	7.7322	6.7613	5.9734	5.3071	4.7239	4.1985	3.7119	3.2513	2.8103	2.3873	1.9836	1.6007	1.2395	0.901	0.5571	1
566	Nigeria	0	0.0014	0.0452	0.5381	2.7026	4.0502	3.84	3.7253	3.6182	3.4756	3.3114	3.1379	2.9579	2.7623	2.5503	2.3301	2.1092	1.8898	1.6711	1.4531	1.2382	1.0293	0.8278	0.6348	0.4517	0.2635	1
646	Rwanda	0	0.0265	0.6801	3.9313	5.0836	4.3479	3.5891	3.0125	2.8859	2.7302	2.6629	2.6248	2.6086	2.5275	2.3909	2.2231	2.0436	1.8677	1.7008	1.54	1.3798	1.2175	1.0547	0.8932	0.7337	0.5596	1
694	Sierra Leone	0	0	0.0047	0.0265	0.1288	0.5038	1.1823	1.6156	1.6265	1.4847	1.3017	1.1449	1.0312	0.9437	0.8632	0.7808	0.6978	0.6149	0.5332	0.454	0.3792	0.3101	0.247	0.1898	0.1385	0.0891	1
710	South Africa	0	0	0.0292	0.322	2.5087	10.4937	17.3242	17.9783	17.4657	16.8182	15.8906	14.8204	13.7696	12.7051	11.5561	10.3173	9.0061	7.8384	6.8964	6.1332	5.4958	4.9348	4.3858	3.6589	2.6634	1.2451	1
748	Swaziland	0	0.0407	0.2704	1.3163	5.6005	15.6837	24.1576	25.801	25.8762	24.4753	21.9566	19.0968	16.4257	14.3155	12.7176	11.4469	10.3714	9.4123	8.5361	7.7176	6.9256	6.1258	5.2866	4.3733	3.3371	1.9465	1
768	Togo	0	0.0062	0.0497	0.2934	1.3108	2.9945	3.5531	3.3024	2.9663	2.6941	2.4736	2.2803	2.1037	1.9324	1.7649	1.6035	1.4559	1.3225	1.1805	1.0342	0.8872	0.7415	0.5982	0.4579	0.3227	0.1819	1
800	Uganda	0	0.0392	0.6455	5.367	10.3969	8.6505	7.0053	6.3902	6.3454	6.2935	6.144	5.9121	5.6287	5.3201	4.9939	4.6531	4.3012	3.9403	3.575	3.2097	2.8478	2.4928	2.1478	1.8151	1.4969	1.1672	1
834	United Republic of Tanzania	0	0.0263	0.2837	2.1469	6.4467	7.7299	6.7868	5.9405	5.2721	4.8757	4.6088	4.3744	4.1624	3.9689	3.7757	3.5668	3.3427	3.1104	2.876	2.6418	2.4082	2.1759	1.9471	1.7244	1.5095	1.2833	1
894	Zambia	0	0.0572	0.9561	7.4431	14.3937	14.6319	14.1795	13.8606	13.0272	12.0873	11.2574	10.5019	9.7757	9.046	8.2883	7.4986	6.6806	5.8451	5.0115	4.2012	3.4245	2.6926	2.0187	1.4151	0.8913	0.4127	1
716	Zimbabwe	0	0.0802	0.6769	4.5448	16.8784	25.6956	22.6409	16.5631	13.5911	12.7909	12.4778	12.3353	11.9961	11.5773	11.0639	10.3399	9.4175	8.4125	7.4215	6.4697	5.5352	4.588	3.5945	2.4799	1.0025	0	1
