"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
181	"Netherlands Antilles"	530	61.6	65.6	68.3	70.2	73	74.8	76.5	77.5	77.6	77.93	78.96	79.4
182	"Puerto Rico"	630	66.01	70.73	72.33	74.03	75.96	77.02	77.48	78.85	79.14	79.6	81.96	82.71
183	"Saint Lucia"	662	55.34	58.47	61.6	64.72	67.85	70.97	73.66	73.6	73.6	73.24	74.38	75.59
184	"Saint Vincent and the Grenadines"	670	52.25	53.37	57.63	60.84	62.95	66.04	68.72	71.02	72.48	73.02	72.8	73.8
185	"Trinidad and Tobago"	780	59.9	63.5	67.1	67.6	68.3	69.4	71.21	72.49	72.96	72.74	72	72.95
186	"United States Virgin Islands"	850	60.68	64.6	66.97	69.38	71.91	74	75.57	77.8	79.5	80.6	81.27	82.01
187	"Central America"	916	50.69	55.05	58.46	60.77	63.62	66.79	69.35	71.59	73.56	75.2	76.59	77.83
188	"Belize"	84	58.3	60.8	63.3	65.8	68.3	70.6	72.52	73.57	74.46	75.77	76.62	78.18
189	"Costa Rica"	188	58.55	61.54	64.53	67.46	70.22	73.32	76.1	77.53	78.63	79.73	80.63	81.32
190	"El Salvador"	222	46.8	51.48	55.74	58.9	61.22	62.8	64.29	69.21	73.02	74.07	75.07	76.03
191	"Guatemala"	320	42.3	44.7	47.9	51.3	55.41	58	60.59	63.69	66.78	69.98	72.51	73.78
192	"Honduras"	340	43.21	46.29	49.81	52.89	56.03	59.67	63.55	67.37	69.67	72.15	73.42	74.54
193	"Mexico"	484	52.54	57.26	60.58	62.5	65.16	68.56	71.18	73	74.64	76.09	77.39	78.65
194	"Nicaragua"	558	43.73	46.76	50	53.41	56.81	60.01	62.61	65.5	68.7	71.07	73.87	76.11
195	"Panama"	591	56.22	60.37	63.12	65.52	68.06	71.12	73.3	74.62	75.66	76.44	77.37	78.25
196	"South America"	931	53.87	56.57	58.94	60.91	63.16	65.38	68.21	70.26	72.14	73.89	75.38	76.55
197	"Argentina"	32	65.14	67.44	68.62	69.33	70.78	72.22	73.74	74.62	75.81	76.96	78.13	79.1
198	"Bolivia"	68	42.49	44.02	45.61	47.27	49.01	52.17	55.9	59.1	61.82	64.03	65.99	67.7
199	"Brazil"	76	52.64	55.19	57.58	59.63	61.83	63.87	66.76	69.03	71.2	73.3	74.85	76.03
200	"Chile"	152	56.77	58.7	60.96	63.76	66.8	70.58	74.17	75.91	77.37	78.82	80.89	81.63
201	"Colombia"	170	52.34	56.88	59.68	61.83	63.86	66.26	70.22	71.7	73.03	74.23	75.44	76.65
202	"Ecuador"	218	49.63	52.7	56.06	58.22	60.46	63.23	66.65	69.89	72.65	75.13	77.22	78.05
203	"French Guiana"	254	56.9	59.85	63.2	67.95	69.5	70.46	73	74.5	76	77.5	79.11	79.89
204	"Guyana"	328	53.92	56.42	58.92	60.97	62.09	63.24	63.97	64.92	65.9	66.02	67.34	69.91
205	"Paraguay"	600	64.66	65.23	66.42	66.99	68.09	68.71	69.31	69.89	70.8	71.72	72.93	73.93
206	"Peru"	604	45	47.5	50.49	52.99	57.24	60.48	63.75	66.77	69.21	71.87	74.34	75.89
207	"Suriname"	740	57.7	60.5	62.5	64.5	66.5	67.7	69.74	70.57	71.05	71.59	71.87	72.64
208	"Uruguay"	858	69.41	70.43	71.64	71.93	72.21	73.12	74.55	75.82	76.94	78.02	78.96	79.89
209	"Venezuela (Bolivarian Republic of)"	862	56.63	59.64	62.82	66.16	68.94	70.69	71.84	73.52	74.5	75.18	75.81	76.82
210	"NORTHERN AMERICA"	905	71.92	72.97	73.59	74.26	75.55	77.27	78.07	78.55	79.13	79.99	80.79	81.53
211	"Canada"	124	71.67	73.31	74.62	75.71	76.73	78.15	79.54	80.29	80.99	81.44	82.26	82.93
212	"United States of America"	840	71.95	72.93	73.48	74.12	75.43	77.18	77.93	78.37	78.94	79.84	80.63	81.38
213	"OCEANIA"	909	62.93	64.89	66.47	67.42	68.71	71.15	73.59	74.31	75.66	76.67	77.9	78.87
214	"Australia/New Zealand"	927	72.28	73.44	74.14	74.32	75.13	76.76	78.27	79.09	80.41	81.5	82.76	83.52
215	"Australia"	36	72.4	73.5	74.2	74.3	75.2	77	78.62	79.4	80.68	81.77	83.03	83.8
216	"New Zealand"	554	71.8	73.2	73.9	74.4	74.8	75.7	76.66	77.62	79.07	80.16	81.44	82.17
217	"Melanesia"	928	38.52	41.19	43.86	46.46	48.92	54	58.11	59	60.54	62.02	63.38	64.91
218	"Fiji"	242	54.95	56.95	58.95	60.95	62.95	64.95	66.95	68.88	68.81	69.06	70.1	71.09
219	"New Caledonia"	540	53	55	61.5	63.5	64.5	69	71.6	73.3	74.5	76.1	78.73	79.69
220	"Papua New Guinea"	598	35.7	38.2	40.7	43.2	45.7	51.26	55.49	56.63	58.57	60.27	61.6	63.18
221	"Solomon Islands"	90	46.4	48.9	51.4	53.9	56.4	58.9	59.53	56.29	58.82	61.38	64.21	66.98
222	"Vanuatu"	548	43.45	46.51	49.5	52.51	55.66	58.77	61.87	63.63	65.88	68.27	70.37	72.11
223	"Micronesia"	954	54.64	56.74	58.89	60.88	63.1	65	66.42	68.06	69.7	71.37	72.79	74.16
224	"Guam"	316	59.68	62.18	64.68	67.08	69.23	70.98	72.48	73.83	75.03	76.03	77.04	77.94
225	"Micronesia (Fed. States of)"	583	55.15	57.15	59.15	61.15	63.25	65.35	65.91	66.48	67.04	67.6	68.2	69.33
226	"Polynesia"	957	52.47	56.09	58.4	60.81	62.89	64.89	67.7	69.87	71.68	73.08	74.55	75.72
227	"French Polynesia"	258	50	56.36	58.79	61.25	62.96	64.88	69	71.1	72.84	74.22	75.99	76.89
228	"Samoa"	882	49.6	52.1	54.6	57.1	59.6	62.1	64.6	67.1	69.7	71.9	73.5	74.85
229	"Tonga"	776	58.72	60.72	62.72	64.72	66.52	68.02	69.52	70.82	71.35	72.14	73.52	74.7
