"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1	"World"	900	46.67168353	48.51980257	49.35292064	55.05305284	56.58815612	58.69801989	59.85215028	61.47969876	62.21281104	63.08355085	64.27339923	65.70715313	67.09249998	68.1954853	69.17040744	70.09005327	70.95239544	71.75400302	72.51908797	73.24019319	73.92352093	74.57109283	75.18278134	75.77200311	76.34432948	76.89740189	77.43057129	77.95007044	78.46177885	78.96679788
2	"More developed regions"	901	63.35514431	65.4283479	66.59787941	67.09793706	67.61819414	68.30675738	69.07155997	70.28239985	70.18994484	70.98257276	71.88753273	73.41238501	74.61426425	75.60188915	76.48992314	77.28273563	77.98994998	78.65016424	79.28377205	79.90148386	80.52103208	81.13753658	81.74791833	82.34033975	82.92214884	83.48383639	84.03281052	84.55954959	85.0829265	85.59673449
3	"Less developed regions"	902	41.91773085	43.86159528	44.81524622	51.97504869	54.0114505	56.56038591	57.95138535	59.70972483	60.74463691	61.68880147	62.89933641	64.23857387	65.64488973	66.78314722	67.80243959	68.78261722	69.71030744	70.56986259	71.38790067	72.15626659	72.8796891	73.56146765	74.19981478	74.81087067	75.39902706	75.96197924	76.49900013	77.02024031	77.53205013	78.03690379
4	"Least developed countries"	941	36.49731578	38.67632908	40.6214193	42.59798907	40.29247951	45.92019445	47.81294698	49.22803582	49.7252832	51.54471851	53.72580312	55.85654728	57.63445465	59.21030772	60.65248724	62.06261733	63.41747515	64.71965627	65.94926387	67.10106991	68.17467715	69.18429658	70.12511116	71.00025029	71.82898811	72.61671455	73.35484561	74.05990666	74.74235589	75.39377289
5	"Other less developed countries"	934	42.73041376	44.63445194	45.47030419	53.44215856	56.31403422	58.36616238	59.74811529	61.60190374	62.83499933	63.74943877	64.85996869	66.10721647	67.48638763	68.59315664	69.5756975	70.50082728	71.35980634	72.14235673	72.88715982	73.58874507	74.25063691	74.87358797	75.4590287	76.02670322	76.57360937	77.09929336	77.60740744	78.1006523	78.58511895	79.0691871
6	"Less developed regions, excluding China"	948	40.82243202	43.75983854	46.48991974	49.04493734	50.57759104	53.78391903	55.25315194	57.14091271	58.32346336	59.43911303	60.92277352	62.39751925	64.00168644	65.28030992	66.42099809	67.50791137	68.5341195	69.48870841	70.38322574	71.21749305	71.9978978	72.734676	73.42417124	74.07423803	74.69797296	75.29585419	75.86827223	76.41695756	76.9520604	77.47694707
7	"Sub-Saharan Africa"	947	35.75724733	37.80147367	39.75407929	41.59308021	43.68595183	45.44508258	46.72445928	47.49644339	47.13496981	47.60642062	49.08593882	51.44967756	53.80391522	55.71730059	57.32557176	58.94022328	60.50469058	62.0029864	63.43616485	64.79667169	66.07215113	67.26524669	68.37674161	69.41073828	70.38240359	71.29909825	72.15721291	72.9712909	73.75182637	74.49505043
8	"Africa"	903	36.91364122	39.01586502	41.03536205	42.97338275	45.12782993	47.05363994	48.61801833	49.68105222	49.61889164	50.22689913	51.75179547	53.98976246	56.14074733	57.86622077	59.3226212	60.77967204	62.19152197	63.54772691	64.84593353	66.0802265	67.2392776	68.32719705	69.34274444	70.28882833	71.17843604	72.02317062	72.81850223	73.57624638	74.30601261	75.00335348
9	"Eastern Africa"	910	36.0611108	38.3892254	40.88170361	42.88669339	44.82389992	46.29542834	47.03472991	47.79269249	46.28171859	48.0350966	49.85455641	53.41847885	56.19238015	58.06200384	59.63088269	61.09640505	62.43775319	63.69664055	64.90213174	66.04922165	67.13070578	68.16239567	69.14355243	70.08043779	70.99581848	71.88401691	72.72833032	73.53888854	74.33151804	75.09068532
10	"Burundi"	108	37.46	38.95	40.44	41.92	42.42	44.261	45.88	46.23	43.16	44.08	45.73	47.48	49.57	51.32	52.76	54.64	56.91	59.11	61.14	63.02	64.76	66.35	67.81	69.13	70.31	71.41	72.44	73.41	74.33	75.19
11	"Comoros"	174	39.5	41	43	45	47	49	51	53	54.33	55.67	57	58.33	60.32	62.02	63.59	65.03	66.34	67.52	68.6	69.59	70.49	71.33	72.1	72.82	73.5	74.13	74.73	75.3	75.85	76.37
12	"Djibouti"	262	33.3	35.8	38.21	40.57	42.88	45.07	47.75	49.21	50.55	51.81	53.23	55.24	56.96	58.91	60.62	62.25	63.76	65.08	66.28	67.58	68.77	69.73	70.69	71.47	72.24	72.92	73.64	74.28	74.9	75.5
13	"Eritrea"	232	34.38	36.38	38.41	40.38	42.3	42.52	42	44.41	48.06	52.22	55.2	57.61	59.74	61.57	63.21	64.71	66.05	67.26	68.34	69.32	70.23	71.07	71.84	72.56	73.24	73.88	74.5	75.08	75.65	76.2
14	"Ethiopia"	231	32.8	35.3	38.58	40.64	42.08	43.08	42.1	44.51	46.75	49.12	51.78	55.7	58.34	60.13	61.89	63.48	64.92	66.22	67.38	68.44	69.41	70.31	71.15	71.94	72.67	73.37	74.04	74.67	75.29	75.87
15	"Kenya"	404	40.54	43	46	48.71	51.65	54.37	57.04	57.73	56.59	52.6	51.05	53.96	56.7	58.26	59.69	61.09	62.44	63.67	64.83	65.93	66.95	67.9	68.79	69.65	70.49	71.31	72.09	72.84	73.57	74.29
16	"Madagascar"	450	36.39	38.39	40.28	42.28	43.97	45.97	48.2	48.4	51.4	55.87	60.49	64.27	65.22	66.9	68.37	69.53	70.44	71.28	72.05	72.78	73.45	74.09	74.7	75.27	75.82	76.34	76.84	77.32	77.79	78.24
17	"Malawi"	454	35.8	36.7	37.8	38.8	41	42.54	44.29	45.51	46.14	45.48	46.77	51.51	54.87	56.63	58.14	59.57	60.79	61.95	63.17	64.4	65.61	66.78	67.93	69.08	70.22	71.3	72.34	73.34	74.31	75.24
18	"Mauritius"	480	49.02	53.95	59.39	60.76	60.73	61.47	64.52	64.74	66.65	66.74	68.85	69.49	70.4	71.26	72.03	72.86	73.69	74.47	75.19	75.88	76.52	77.14	77.73	78.3	78.85	79.38	79.89	80.4	80.89	81.37
19	"Mayotte"	175	44.43	50.13	54.17	57.51	60.31	62.73	64.89	66.85	68.68	70.41	72.07	73.69	74.16	74.89	75.61	76.2	76.71	77.2	77.66	78.12	78.56	78.98	79.4	79.81	80.22	80.6	80.99	81.37	81.74	82.09
20	"Mozambique"	508	30.1	32.5	34.8	36.65	38.8	40.95	41.28	41.2	42.44	44.96	46.01	47.56	50	52.42	54.1	55.69	57.1	58.52	59.96	61.38	62.76	64.11	65.43	66.73	67.98	69.21	70.38	71.52	72.61	73.65
21	"Reunion"	638	44.43	50.13	54.17	57.51	60.31	62.73	64.89	66.85	68.68	70.41	72.07	73.69	74.16	74.89	75.61	76.2	76.71	77.2	77.66	78.12	78.56	78.98	79.4	79.81	80.22	80.6	80.99	81.37	81.74	82.09
22	"Rwanda"	646	38.45	39.91	41.39	42.47	43	44.24	48.22	43.69	21.99	40.6	48.65	52.7	54.47	55.84	57.7	59.43	60.96	62.39	63.78	65.11	66.35	67.48	68.52	69.5	70.43	71.32	72.14	72.91	73.66	74.37
23	"Somalia"	706	31.54	33.51	35.49	37.47	39.45	40.44	42.4	44.4	41.8	45.3	47.8	48.71	50.11	51.77	53.7	55.64	57.55	59.41	61.16	62.8	64.31	65.68	66.93	68.06	69.09	70.04	70.91	71.71	72.46	73.15
24	"Uganda"	800	38.47	41.07	43.84	46.61	49.6	48.79	48.23	47.07	43.84	43.7	47.49	51.68	53.83	55.08	56.09	57.35	58.81	60.29	61.74	63.13	64.46	65.72	66.92	68.05	69.14	70.16	71.14	72.07	72.95	73.8
25	"United Republic of Tanzania"	834	39.59	41.36	42.62	44.15	46.03	48.2	49.18	49.57	48.43	48.73	50.93	54.62	58.23	60.83	62.51	63.87	64.94	65.92	66.89	67.86	68.79	69.68	70.55	71.38	72.19	72.98	73.73	74.46	75.16	75.83
26	"Zambia"	894	40.6	42.6	44.6	46.3	48.57	49.95	50.26	48.2	44.03	42.1	42.26	46.49	49.17	50.53	52.38	54.1	55.62	57.09	58.68	60.29	61.89	63.45	64.98	66.48	67.94	69.34	70.68	71.92	73.07	74.1
27	"Zimbabwe"	716	47	49	50.9	52.5	54.1	56.1	58.57	59.68	56.38	47.76	43.75	47.45	53.99	57.5	58.99	60.1	60.88	61.66	62.6	63.69	64.97	66.36	67.77	69.18	70.57	71.95	73.23	74.44	75.64	76.97
28	"Middle Africa"	911	35.45209691	37.24225659	38.92041661	40.75493601	42.82887641	44.34595185	45.51501207	46.02952568	46.13486033	45.08466333	46.21540388	47.14672931	48.83418587	50.44489441	51.88709142	53.57027455	55.41705069	57.27324631	59.06877869	60.78602037	62.40281451	63.90900293	65.30113128	66.58332633	67.76631173	68.85811975	69.86543678	70.8012055	71.67489128	72.4881776
29	"Angola"	24	28.59	30.55	32.53	34.5	36.48	38.26	38.97	39.2	39.49	41.85	45.88	48.21	50.2	52.15	53.95	55.82	57.66	59.45	61.14	62.71	64.18	65.53	66.77	67.92	68.98	69.96	70.88	71.74	72.54	73.3
30	"Cameroon"	120	37.22	39.14	41.37	43.54	45.91	48.53	50.61	51.75	51.41	49.75	48.51	49.02	51.38	53.24	54.41	55.9	57.57	59.21	60.78	62.29	63.7	65.01	66.25	67.4	68.5	69.54	70.54	71.48	72.38	73.23
31	"Central African Republic"	140	32.03	34	35.98	38.46	42	45.45	47.22	47.14	45.59	42.91	42.24	44.47	47.73	50.16	52.03	53.98	55.92	57.84	59.64	61.32	62.87	64.31	65.61	66.78	67.86	68.84	69.72	70.52	71.26	71.97
32	"Chad"	148	35.71	37.5	39.35	41.26	42.87	44.79	47.24	48.84	48.78	47.71	46.7	47.15	48.64	50.16	51.84	53.77	55.67	57.55	59.37	61.09	62.7	64.2	65.58	66.86	68.04	69.13	70.13	71.06	71.93	72.75
33	"Congo"	178	42.27	45.7	48.83	50.98	52.77	54.13	55.24	55.59	54.02	53.26	53.48	54.88	56.64	58.16	59.28	60.63	62.07	63.49	64.81	66.05	67.21	68.29	69.29	70.21	71.06	71.87	72.61	73.31	73.98	74.62
34	"Dem. Republic of the Congo"	180	37.6	39.09	40.17	41.53	43.32	44.04	44.8	45.14	45.53	43.82	45.34	45.93	47.26	48.7	50.09	51.74	53.63	55.58	57.48	59.31	61.06	62.69	64.2	65.58	66.85	68.01	69.08	70.06	70.98	71.81
35	"Equatorial Guinea"	226	33.03	34.51	36	37.48	39	40.5	42.11	44.19	46.09	47.1	47.51	48.87	50.32	51.94	53.39	55.07	56.88	58.46	60.12	61.75	63.29	64.79	66.17	67.46	68.69	69.8	70.82	71.86	72.78	73.62
36	"Gabon"	266	35.48	37.46	38.94	43.05	47.14	51.18	55.34	59.02	59.86	59.22	58.2	60.24	62.26	63.87	65.09	66.28	67.23	68.22	69.12	70.02	70.91	71.74	72.54	73.29	74.05	74.78	75.52	76.2	76.78	77.42
37	"Sao Tome and Principe"	678	45.15	47.6	50.5	53	55	58	58.92	59.68	60.39	61.01	61.57	62.46	63.52	64.51	65.45	66.52	67.69	68.76	69.73	70.62	71.45	72.21	72.93	73.59	74.23	74.82	75.39	75.93	76.45	76.95
38	"Northern Africa"	912	41.56715952	43.60199849	45.68284361	48.02121574	50.46724925	53.21958867	56.16544937	58.82656441	61.19244511	63.48638796	66.0342754	67.50046647	68.65806038	69.70176284	70.65874963	71.56427919	72.41998428	73.22802199	73.97785914	74.67496461	75.32122992	75.93058761	76.51922439	77.07217189	77.59272231	78.09807081	78.58398966	79.05368289	79.51690492	79.96623825
39	"Algeria"	12	42.1	44.7	47.3	50.4	53.5	57	60.2	64.7	66.55	67.87	69.72	70.86	71.89	72.81	73.66	74.44	75.17	75.86	76.51	77.12	77.71	78.28	78.83	79.36	79.87	80.38	80.87	81.35	81.82	82.29
40	"Egypt"	818	42.1	44.1	46.1	48.4	50.8	53.5	56.3	59	62.03	65.66	68.64	70.46	71.57	72.52	73.39	74.2	74.94	75.64	76.3	76.93	77.53	78.1	78.65	79.19	79.71	80.22	80.71	81.19	81.67	82.14
41	"Libyan Arab Jamahiriya"	434	41.9	44.3	46.7	49	51.4	56	60.6	64.5	66.9	69.3	70.48	71.7	72.72	73.57	74.36	75.1	75.79	76.44	77.06	77.65	78.22	78.77	79.3	79.82	80.32	80.82	81.3	81.77	82.24	82.69
42	"Morocco"	504	41.865	44.256	46.645	48.932	51.317	53.996	58	60.9	63.5	65.6	67.5	68.96	70.28	71.37	72.34	73.23	74.04	74.8	75.51	76.17	76.81	77.41	77.99	78.55	79.08	79.61	80.12	80.61	81.1	81.58
