"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
150	"Bosnia and Herzegovina"	70	52.6	56.9	60.1	62.6	65.2	67.4	67.95	69.2	55.82	70.5	71.62	72.43
151	"Croatia"	191	59	62.4	64.5	65.3	66.2	67.1	66.4	67	68.29	70.93	71.38	72.76
152	"Greece"	300	64.3	66.3	67.9	69.3	70.6	71.7	72.84	74	74.89	74.89	75.87	77.05
153	"Italy"	380	64.43	66.05	66.89	67.91	69.08	70.12	71.38	72.94	73.99	75.43	77.2	78.11
154	"Malta"	470	64.2	66.3	67.04	67.5	68.5	70	71.3	72.73	74.03	74.96	76.39	77.8
155	"Montenegro"	499	58.35	60.16	61.97	65.04	68.11	70.42	71.53	72.3	72.79	72.11	71.85	71.55
156	"Portugal"	620	56.9	59.7	61.4	63.1	64.9	66.7	68.95	70.42	71.2	72.4	74.12	75.39
157	"Serbia"	688	57.13	60.7	63.3	65.2	66.8	68.1	67.7	68.75	69.19	69.9	70.89	71.7
158	"Slovenia"	705	63	65.1	66.1	65.6	66	67	67.01	68.39	69.6	71.16	72.6	74.6
159	"Spain"	724	61.6	65.4	67.9	69.1	70.2	71.4	72.84	73.34	73.89	75.05	76.37	77.62
160	"TFYR Macedonia"	807	54.95	58.7	61.65	64.24	66.05	67.9	67.68	68.91	69.43	70.42	71.07	71.81
161	"Western Europe"	926	65.31	66.74	67.58	67.97	68.47	69.55	70.71	72.04	73.02	74.31	75.86	77.39
162	"Austria"	40	63.56	64.8	66.25	66.67	67.01	68.3	69.4	71.26	72.57	74.05	75.78	77.17
163	"Belgium"	56	65.9	67.37	67.12	67.62	68.43	69.4	70.62	72.22	72.96	74.31	75.11	76.7
164	"France"	250	64.05	65.91	67.18	67.64	68.55	69.54	70.62	71.9	73.13	74.44	75.84	77.62
165	"Germany"	276	65.3	66.6	67.4	67.8	67.9	69	70.3	71.72	72.6	73.94	75.75	77.12
166	"Luxembourg"	442	63.1	64.5	65.7	66.8	67.24	68.52	69.77	70.17	72.39	73.92	75.13	76.73
167	"Netherlands"	528	70.9	71.4	71.1	71	71.1	72.1	72.81	73.46	74.22	75.08	76.25	77.79
168	"Switzerland"	756	67	68.2	68.9	69.4	70.8	72	72.9	73.95	74.68	76.17	77.95	79.31
169	"LATIN AMERICA AND THE CARIBBEAN"	904	49.7	52.49	54.88	56.74	58.58	60.53	62.11	63.91	65.59	67.39	68.86	70.21
170	"Caribbean"	915	50.88	54.02	56.94	59.46	61.3	62.45	63.41	64.63	65.66	66.82	67.82	69.19
171	"Aruba"	533	59.1	63	64.8	66.4	67.5	68.8	70.5	70.8	71.1	71	71.2	72.06
172	"Bahamas"	44	58.3	60.8	61	62.93	63.19	63.35	64.55	66.35	66.42	66.21	68.35	70.58
173	"Barbados"	52	55	60.2	63.5	65.2	66.9	68.7	70.2	71.52	72.12	71.72	72.61	74.17
174	"Cuba"	192	57.77	60.76	63.81	67	69.43	71.46	72.64	72.83	72.94	74.21	75.3	76.68
175	"Dominican Republic"	214	44.74	48.54	52.09	55.32	58.06	59.95	62.01	64.19	66.43	67.9	69.23	69.84
176	"Grenada"	308	59.56	60.2	60.85	61.49	62.13	62.77	63.41	65.68	68.85	71.12	72.78	73.71
177	"Guadeloupe"	312	55	59.5	62.5	63.2	64.7	66.4	68.91	70.11	72.4	73.6	75.12	75.98
178	"Haiti"	332	36.32	39.39	42.26	44.92	46.76	48.47	50.04	52.35	54.64	56.32	57.08	59.49
179	"Jamaica"	388	56.87	60.76	63.7	65.7	67.28	68.15	68.32	68.77	68.91	68.44	67.57	68.49
180	"Martinique"	474	55	59	62.3	64.3	66.3	68.5	70.5	72.2	73.5	74.5	75.72	76.53
181	"Netherlands Antilles"	530	59.1	63	64.8	66.4	67.8	69.5	70.9	71.46	71.5	71.14	71.76	72.68
182	"Puerto Rico"	630	62.71	66.55	66.97	68.23	69.16	70.2	70.5	70.61	69.56	70.36	73.67	74.72
183	"Saint Lucia"	662	52.7	55.13	57.56	59.99	62.42	64.85	67.28	68.3	69.3	69.75	70.67	71.85
184	"Saint Vincent and the Grenadines"	670	49.78	50.87	55.01	58.04	60.02	63.05	64.7	66.1	67.1	67.5	68.46	69.47
185	"Trinidad and Tobago"	780	58.2	60.1	62.9	63.4	63.6	64.7	64.61	65.06	65.43	65.09	64.66	65.82
186	"United States Virgin Islands"	850	57.71	60.84	62.27	64.11	65.79	67.53	68.89	70.33	71.76	73.42	75.02	75.89
187	"Central America"	916	47.55	51.53	54.62	56.64	58.74	60.65	62.6	65.25	67.75	69.91	71.25	72.52
188	"Belize"	84	57.06	59.56	62.06	64.56	66.86	68.86	70.38	70.7	70.74	71.63	72.85	74.35
189	"Costa Rica"	188	56.04	58.82	61.59	63.91	66.05	68.88	71.59	72.94	73.98	75.02	75.86	76.49
190	"El Salvador"	222	43.39	47.22	50.48	52.55	53.2	51.95	50.6	57.47	63.32	64.43	65.49	66.52
191	"Guatemala"	320	41.8	43.7	46.2	49	52.4	54.44	56.12	58.31	60.51	62.87	65.5	66.73
192	"Honduras"	340	40.58	43.05	46.33	49.16	52.03	55.52	59.29	63.07	65.13	67.08	68.47	69.77
