country_code	country_name	reg_code	name	1920-1925	1925-1930	1930-1935	1935-1940	1940-1945	1945-1950	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015
360	Indonesia	4731	South Kalimantan						35.4917	36.22304	38.57708	42.03834	45.66594	49.30036	51.71728	54.3996	57.22508	59.86716	61.65278	63.13564	64.85852	67.09078
360	Indonesia	4732	East Kalimantan						52.415	52.96716	53.74126	54.84784	56.27016	57.61054	59.15086	61.01458	63.59624	65.70486	66.87906	66.88086	67.4258	68.77578
360	Indonesia	4733	North Sulawesi						46.1445	47.25276	49.47136	52.10018	54.52356	56.62842	58.65626	59.79142	60.71122	61.69538	62.48204	63.52472	64.76818	66.6136
360	Indonesia	4734	Central Sulawesi						36.1903	37.80096	42.1239	45.94536	48.80678	51.69644	53.89702	55.70516	57.55974	59.71244	61.90874	63.89544	65.37908	67.26104
360	Indonesia	4735	South Sulawesi						44.675	45.34966	47.307	49.68032	52.1611	54.998	57.7892	60.44262	63.38348	66.5228	68.91182	70.5993	71.76632	73.13496
360	Indonesia	4736	Southeast Sulawesi						39.0277	39.8019	42.25904	44.67534	46.79592	49.67002	52.3771	54.8131	56.78316	58.15736	59.23696	60.66696	62.21488	64.23232
360	Indonesia	4737	Gorontalo						41.1623	42.25356	45.11508	48.23678	50.91618	53.3216	55.5865	57.54646	58.71498	59.5717	59.71804	59.67972	60.83404	62.89932
360	Indonesia	4738	West Sulawesi						32.8493	33.63686	36.3932	39.72286	42.53582	45.70126	48.36676	51.08862	54.2871	57.36196	59.9295	60.91636	62.12242	64.52216
360	Indonesia	4739	Maluku						39.0642	40.4629	43.60398	46.30838	48.65302	51.0651	52.97746	54.7087	56.37294	58.02298	59.25584	59.80808	60.3718	62.35228
360	Indonesia	4740	North Maluku						43.5175	44.18866	46.14282	48.49444	50.40096	52.19368	53.74042	55.11126	56.68222	58.06944	58.36828	58.31384	58.48776	60.25646
360	Indonesia	4741	West Papua						46.4083	46.93754	48.51938	49.42966	49.22318	52.78334	50.59102	55.70354	57.19324	58.20934	58.12138	57.73062	58.16586	61.36988
360	Indonesia	4742	Papua						48.3253	48.81504	50.0163	51.71224	53.06382	54.31402	55.30862	56.5052	57.43768	58.07984	59.09994	59.7831	60.63208	61.84028
